,zfygpa,zgpa,DOB_yr,isPartTime,sex,race,cluster_tier,family_income,lsat,ugpa,pass_bar,weighted_lsat_ugpa
4299,-0.13,-0.44,69.0,No,Female,Other,4.0,2.0,39.0,3.0,Passed,757.8947169999999
4300,-0.63,-1.75,68.0,No,Male,Other,3.0,2.0,33.0,3.1,Passed,673.157879
4301,-0.91,-1.58,67.0,No,Male,White,4.0,4.0,36.0,3.7,Failed_or_not_attempted,780.526298
4302,0.0,0.0,64.0,No,Female,Black,4.0,3.0,31.0,2.9,Passed,621.578933
4303,0.1,0.0,68.0,No,Male,White,3.0,5.0,42.0,3.7,Failed_or_not_attempted,875.263136
4304,-1.82,0.0,69.0,No,Female,Black,3.0,4.0,22.0,2.9,Failed_or_not_attempted,479.47367599999995
4305,0.43,0.17,68.0,No,Male,White,3.0,3.0,33.5,3.7,Passed,741.0526155
4306,0.96,0.9,58.0,No,Male,White,6.0,3.0,40.0,3.9,Passed,863.68419
4307,0.12,-0.35,66.0,No,Male,White,4.0,3.0,35.0,3.3,Passed,724.736825
4308,0.0,0.0,69.0,No,Female,White,3.0,3.0,42.0,3.2,Failed_or_not_attempted,825.263136
4309,1.03,0.87,56.0,No,Male,White,4.0,1.0,39.0,3.1,Passed,767.894717
4310,-0.02,0.31,46.0,No,Male,White,3.0,2.0,39.0,3.6,Passed,817.894717
4311,0.0,0.0,67.0,No,Male,White,4.0,3.0,39.0,3.8,Passed,837.8947169999999
4312,1.15,0.99,62.0,No,Male,White,4.0,4.0,44.0,3.3,Passed,866.842082
4313,1.3,1.13,69.0,No,Female,White,3.0,4.0,39.0,3.6,Passed,817.894717
4314,0.81,1.07,69.0,No,Female,White,3.0,3.0,32.0,3.8,Passed,727.3684059999999
4315,-0.69,-0.79,69.0,No,Male,Other,1.0,4.0,30.0,2.8,Failed_or_not_attempted,595.78946
4316,1.75,-0.54,58.0,Yes,Male,White,4.0,3.0,33.0,2.6,Failed_or_not_attempted,623.157879
4317,-1.03,-1.11,69.0,No,Male,White,4.0,3.0,39.0,3.6,Passed,817.894717
4318,1.6,1.34,68.0,No,Male,Other,6.0,4.0,38.0,3.2,Passed,762.105244
4319,1.26,1.48,69.0,No,Male,White,6.0,4.0,42.0,4.0,Passed,905.263136
4320,0.0,0.0,52.0,Yes,Female,White,5.0,4.0,38.0,2.9,Failed_or_not_attempted,732.105244
4321,-0.67,0.01,61.0,Yes,Female,Other,3.0,4.0,26.0,3.8,Passed,632.631568
4322,-0.32,-1.26,67.0,No,Male,White,6.0,4.0,40.0,2.9,Passed,763.68419
4323,-0.91,-1.04,69.0,No,Male,Other,4.0,3.0,36.0,3.2,Passed,730.526298
4324,-0.36,-0.46,66.0,No,Male,Other,3.0,2.0,30.0,3.2,Passed,635.78946
4325,0.92,0.45,63.0,No,Male,White,2.0,3.0,38.0,3.9,Failed_or_not_attempted,832.105244
4326,1.77,1.67,53.0,No,Female,White,4.0,4.0,38.0,3.3,Passed,772.105244
4327,0.0,0.0,68.0,No,Male,White,3.0,4.0,32.0,3.9,Failed_or_not_attempted,737.3684059999999
4328,0.0,0.0,69.0,No,Female,White,4.0,4.0,37.0,3.4,Passed,766.3157709999999
4329,-1.39,-1.17,66.0,No,Male,White,5.0,4.0,32.0,4.0,Passed,747.368406
4330,0.0,0.0,69.0,No,Female,White,5.0,4.0,32.0,3.8,Passed,727.3684059999999
4331,0.01,0.83,59.0,No,Female,White,5.0,4.0,43.0,3.3,Passed,851.052609
4332,0.75,0.52,69.0,No,Female,White,4.0,2.0,41.0,3.6,Passed,849.473663
4333,0.15,-0.24,55.0,No,Female,White,4.0,3.0,30.5,3.6,Passed,683.6841965
4334,-0.22,-0.35,68.0,No,Female,White,3.0,3.0,35.0,3.0,Passed,694.736825
4335,0.58,-0.08,69.0,No,Male,White,4.0,3.0,45.0,3.2,Passed,872.6315549999999
4336,-2.39,-1.61,69.0,No,Male,White,5.0,4.0,41.0,2.6,Failed_or_not_attempted,749.473663
4337,-0.4,-1.01,68.0,No,Male,White,2.0,3.0,36.0,2.9,Passed,700.526298
4338,0.5,0.73,67.0,No,Male,White,3.0,2.0,42.0,2.9,Passed,795.2631359999999
4339,-0.35,-0.94,68.0,No,Female,Other,5.0,3.0,29.0,2.9,Passed,589.9999869999999
4340,-0.11,0.55,69.0,No,Female,White,4.0,4.0,37.0,3.5,Passed,776.315771
4341,0.77,0.93,68.0,No,Male,White,2.0,3.0,37.0,3.7,Passed,796.315771
4342,-1.57,-1.83,68.0,No,Male,White,5.0,4.0,40.0,3.5,Passed,823.68419
4343,-1.27,-0.76,69.0,No,Female,White,2.0,4.0,33.0,2.5,Passed,613.157879
4344,1.51,0.92,66.0,No,Male,White,3.0,4.0,34.0,2.8,Passed,658.9473519999999
4345,-0.96,-1.54,63.0,Yes,Male,White,4.0,4.0,39.0,2.7,Passed,727.894717
4346,-0.48,0.24,68.0,No,Female,White,3.0,4.0,41.0,3.5,Passed,839.473663
4347,-0.29,-0.03,59.0,Yes,Female,White,3.0,3.0,31.0,2.7,Failed_or_not_attempted,601.578933
4348,-0.56,-1.55,67.0,No,Male,Other,3.0,5.0,29.0,2.9,Passed,589.9999869999999
4349,0.32,0.03,68.0,No,Female,Other,4.0,4.0,41.0,3.4,Failed_or_not_attempted,829.473663
4350,0.63,1.02,69.0,No,Female,White,4.0,4.0,37.0,3.7,Passed,796.315771
4351,0.63,0.49,69.0,No,Male,White,4.0,5.0,43.0,3.6,Passed,881.052609
4352,-1.7,0.0,63.0,No,Female,White,4.0,4.0,37.0,2.6,Failed_or_not_attempted,686.315771
4353,-1.13,-0.53,51.0,No,Female,White,4.0,3.0,39.0,3.7,Passed,827.894717
4354,0.66,0.61,69.0,No,Male,White,4.0,4.0,35.0,3.3,Passed,724.736825
4355,-0.43,0.06,63.0,Yes,Male,White,5.0,2.0,39.0,2.7,Passed,727.894717
4356,0.1,0.09,67.0,No,Female,Black,1.0,2.0,32.0,3.4,Passed,687.3684059999999
4357,0.1,0.13,67.0,Yes,Female,White,3.0,3.0,40.0,3.0,Passed,773.68419
4358,-0.59,-0.77,62.0,No,Male,White,2.0,4.0,34.5,2.2,Failed_or_not_attempted,606.8420885
4359,1.7,1.82,61.0,No,Male,Other,5.0,4.0,39.0,3.0,Passed,757.8947169999999
4360,0.34,-0.12,68.0,No,Male,White,2.0,5.0,34.0,2.7,Passed,648.947352
4361,0.31,0.25,69.0,No,Male,White,4.0,3.0,37.0,3.7,Passed,796.315771
4362,0.0,-0.3,66.0,Yes,Male,White,4.0,4.0,42.0,3.3,Passed,835.2631359999999
4363,1.31,1.51,68.0,No,Female,White,4.0,4.0,42.0,3.9,Passed,895.2631359999999
4364,0.8,0.38,70.0,No,Female,White,3.0,4.0,33.0,3.2,Passed,683.157879
4365,2.36,0.0,69.0,No,Male,White,6.0,4.0,39.0,3.5,Passed,807.8947169999999
4366,-0.29,-0.3,66.0,No,Male,White,3.0,4.0,42.0,2.4,Passed,745.2631359999999
4367,0.57,0.3,66.0,No,Female,White,4.0,3.0,42.0,3.8,Passed,885.2631359999999
4368,-0.56,-0.82,69.0,No,Male,White,5.0,3.0,42.0,2.9,Passed,795.2631359999999
4369,0.25,0.01,67.0,No,Male,White,2.0,4.0,30.0,2.8,Passed,595.78946
4370,-0.44,0.03,12.0,No,Male,White,3.0,4.0,29.0,3.0,Passed,599.9999869999999
4371,1.78,2.08,69.0,No,Male,White,2.0,3.0,34.0,4.0,Passed,778.9473519999999
4372,-0.66,-1.12,69.0,No,Female,White,3.0,5.0,28.0,2.9,Passed,574.210514
4373,1.11,1.56,56.0,No,Female,White,2.0,3.0,37.0,3.2,Passed,746.315771
4374,1.16,1.55,68.0,No,Male,White,3.0,2.0,32.0,2.7,Passed,617.368406
4375,-0.18,-0.38,66.0,No,Male,White,4.0,4.0,38.0,3.4,Passed,782.105244
4376,1.49,0.0,65.0,No,Male,White,5.0,2.0,40.0,2.6,Passed,733.6841900000001
4377,1.53,1.72,63.0,No,Male,White,3.0,4.0,37.0,3.0,Passed,726.315771
4378,2.09,2.13,69.0,No,Female,White,3.0,4.0,45.0,3.4,Failed_or_not_attempted,892.6315549999999
4379,2.3,0.23,63.0,No,Male,White,6.0,3.0,39.0,3.5,Passed,807.8947169999999
4380,-0.55,-1.19,69.0,No,Female,White,3.0,3.0,37.0,3.0,Passed,726.315771
4381,-0.12,-0.37,52.0,No,Male,White,3.0,3.0,28.5,3.4,Passed,632.1052505
4382,0.8,0.36,67.0,No,Female,White,3.0,3.0,40.0,2.7,Passed,743.6841900000001
4383,-0.92,-0.5,69.0,No,Male,White,4.0,4.0,38.0,2.9,Passed,732.105244
4384,-0.5,0.24,69.0,No,Male,White,4.0,4.0,30.5,3.5,Passed,673.6841965
4385,0.47,0.81,64.0,Yes,Male,White,3.0,3.0,35.0,3.4,Passed,734.736825
4386,-0.21,-0.6,68.0,No,Male,White,3.0,4.0,40.0,2.5,Passed,723.68419
4387,0.56,0.45,68.0,No,Male,White,5.0,3.0,34.0,3.7,Passed,748.947352
4388,0.18,-0.11,45.0,No,Male,Black,1.0,2.0,31.0,2.2,Passed,551.578933
4390,0.27,0.27,68.0,No,Male,White,4.0,3.0,45.0,3.3,Passed,882.6315549999999
4391,-0.24,-0.25,65.0,No,Male,White,5.0,4.0,41.0,3.2,Passed,809.473663
4392,-0.93,-0.4,69.0,No,Female,White,3.0,4.0,35.0,3.3,Passed,724.736825
4393,0.95,0.86,64.0,Yes,Male,White,3.0,3.0,42.0,2.5,Passed,755.263136
4394,0.24,0.67,68.0,No,Male,White,5.0,4.0,41.0,3.7,Failed_or_not_attempted,859.473663
4395,0.0,0.0,69.0,Yes,Male,White,2.0,4.0,32.0,2.5,Failed_or_not_attempted,597.368406
4396,-1.45,-1.12,65.0,No,Female,Other,4.0,3.0,32.0,3.4,Passed,687.3684059999999
4397,0.43,0.0,69.0,No,Female,White,6.0,5.0,45.0,3.6,Passed,912.6315549999999
4398,1.16,0.86,66.0,No,Female,White,6.0,3.0,47.0,3.7,Passed,954.210501
4399,0.0,0.0,62.0,No,Male,Other,5.0,3.0,34.5,3.5,Failed_or_not_attempted,736.8420885
4400,-1.23,-1.37,64.0,No,Female,White,4.0,4.0,40.0,3.2,Passed,793.6841900000001
4401,1.22,1.07,67.0,No,Male,White,4.0,4.0,36.0,3.1,Passed,720.526298
4402,1.88,2.3,69.0,No,Male,White,4.0,4.0,35.5,3.0,Passed,702.6315615
4403,0.51,0.58,68.0,No,Male,White,3.0,4.0,39.0,2.6,Passed,717.894717
4404,0.38,0.0,67.0,No,Female,White,3.0,4.0,39.5,3.0,Passed,765.7894535
4405,-1.23,-1.41,68.0,No,Male,Other,4.0,3.0,26.0,3.6,Passed,612.631568
4406,1.68,0.97,69.0,No,Male,White,4.0,4.0,41.0,2.8,Passed,769.473663
4407,-0.11,-0.12,69.0,No,Female,White,4.0,3.0,41.0,3.4,Passed,829.473663
4408,-0.65,-0.64,59.0,Yes,Female,White,3.0,4.0,38.0,3.1,Passed,752.105244
4409,0.0,0.0,70.0,No,Male,White,4.0,3.0,42.0,3.4,Passed,845.2631359999999
4410,0.7,0.7,68.0,No,Male,White,3.0,4.0,48.0,3.3,Passed,929.999974
4411,0.0,0.0,68.0,No,Male,White,3.0,3.0,30.0,3.8,Failed_or_not_attempted,695.78946
4412,-0.14,-0.16,68.0,No,Male,White,6.0,4.0,39.0,2.9,Passed,747.8947169999999
4413,-1.16,-1.01,67.0,No,Male,White,1.0,3.0,34.0,3.1,Failed_or_not_attempted,688.947352
4414,-0.8,-0.81,68.0,No,Male,White,3.0,4.0,39.0,2.8,Passed,737.8947169999999
4415,-0.43,-0.67,68.0,No,Male,White,2.0,4.0,33.0,2.6,Passed,623.157879
4416,-0.98,-1.32,68.0,No,Male,White,5.0,4.0,27.0,3.6,Passed,628.4210410000001
4417,0.36,1.09,67.0,No,Female,White,3.0,4.0,39.0,3.0,Passed,757.8947169999999
4418,1.92,1.98,61.0,No,Female,White,3.0,3.0,38.0,3.2,Passed,762.105244
4419,0.24,0.31,66.0,No,Male,White,4.0,4.0,44.0,3.2,Passed,856.842082
4420,2.11,1.79,67.0,No,Male,White,3.0,3.0,42.0,3.9,Failed_or_not_attempted,895.2631359999999
4421,0.75,0.67,66.0,No,Male,White,3.0,3.0,30.0,3.1,Passed,625.78946
4422,-0.47,-0.27,68.0,No,Female,White,4.0,2.0,40.0,3.3,Passed,803.68419
4424,0.75,0.46,67.0,No,Male,White,3.0,5.0,41.0,2.9,Passed,779.473663
4425,1.16,-0.39,66.0,No,Male,White,3.0,3.0,34.0,2.6,Passed,638.947352
4426,-1.12,-0.73,66.0,No,Male,White,5.0,1.0,34.0,3.0,Failed_or_not_attempted,678.9473519999999
4427,1.06,0.31,69.0,No,Male,White,3.0,4.0,40.0,3.1,Passed,783.6841900000001
4428,0.0,0.0,69.0,No,Male,White,5.0,4.0,44.0,3.6,Failed_or_not_attempted,896.842082
4429,0.93,0.42,64.0,No,Male,White,3.0,4.0,40.0,2.6,Passed,733.6841900000001
4430,1.4,1.54,68.0,No,Female,White,3.0,4.0,42.0,3.9,Failed_or_not_attempted,895.2631359999999
4431,-0.7,-1.32,67.0,No,Male,Other,3.0,3.0,37.0,2.1,Passed,636.315771
4432,-0.52,-0.82,66.0,No,Female,Other,4.0,3.0,35.0,3.8,Passed,774.736825
4433,-0.76,-0.19,68.0,No,Male,Other,4.0,3.0,41.0,3.2,Passed,809.473663
4434,0.8,0.0,69.0,No,Male,White,2.0,4.0,31.0,3.1,Passed,641.578933
4435,-0.49,-0.48,68.0,No,Male,Other,3.0,3.0,35.0,2.6,Passed,654.736825
4436,-0.94,-1.13,69.0,No,Female,White,2.0,3.0,31.0,3.2,Passed,651.578933
4437,1.09,1.12,64.0,No,Male,White,3.0,3.0,34.0,3.1,Passed,688.947352
4438,0.97,0.95,68.0,No,Male,White,3.0,4.0,31.0,2.8,Passed,611.578933
4439,-0.91,0.0,65.0,No,Male,White,6.0,4.0,38.0,3.5,Passed,792.105244
4440,0.83,0.8,69.0,No,Female,White,4.0,3.0,38.0,3.4,Passed,782.105244
4441,0.07,0.44,70.0,No,Male,White,5.0,5.0,36.0,3.3,Passed,740.526298
4442,0.19,0.49,64.0,No,Male,White,3.0,4.0,33.5,2.6,Passed,631.0526155
4443,-0.22,-0.65,61.0,No,Male,White,2.0,4.0,31.0,2.7,Passed,601.578933
4444,0.18,0.0,52.0,Yes,Female,White,2.0,4.0,32.0,3.7,Failed_or_not_attempted,717.368406
4445,-0.91,-1.1,66.0,No,Male,White,3.0,4.0,36.0,2.5,Passed,660.526298
4446,0.39,0.29,63.0,No,Male,White,3.0,3.0,36.0,2.4,Passed,650.526298
4447,-0.13,0.45,69.0,No,Male,Other,3.0,4.0,35.0,3.0,Passed,694.736825
4448,0.17,0.38,69.0,No,Female,White,3.0,4.0,38.0,2.9,Passed,732.105244
4449,0.85,0.5,69.0,No,Male,White,5.0,4.0,38.0,3.9,Passed,832.105244
4450,0.81,0.61,64.0,No,Male,White,4.0,4.0,39.0,3.4,Passed,797.8947169999999
4451,0.57,-0.2,68.0,No,Female,Other,4.0,4.0,44.0,2.9,Passed,826.842082
4452,0.08,0.37,68.0,No,Female,White,3.0,3.0,37.0,3.3,Passed,756.3157709999999
4453,-0.31,-1.04,69.0,No,Female,White,3.0,4.0,24.0,2.9,Passed,511.052622
4454,-0.05,-0.06,67.0,No,Male,White,3.0,3.0,33.0,3.1,Passed,673.157879
4455,-0.88,0.0,67.0,No,Female,White,3.0,4.0,36.5,2.8,Passed,698.4210344999999
4456,0.27,0.0,66.0,Yes,Female,White,4.0,3.0,38.0,3.6,Failed_or_not_attempted,802.105244
4457,-0.3,-0.18,68.0,No,Female,White,3.0,3.0,34.0,3.5,Passed,728.9473519999999
4458,-1.01,-1.49,65.0,No,Female,Other,4.0,2.0,37.0,2.7,Passed,696.315771
4459,-0.26,-0.58,69.0,No,Male,White,4.0,4.0,37.0,3.1,Passed,736.315771
4460,0.67,0.26,65.0,No,Female,White,4.0,4.0,41.0,3.4,Passed,829.473663
4461,0.28,-0.43,56.0,Yes,Female,White,3.0,3.0,32.0,3.1,Passed,657.368406
4462,0.0,0.0,68.0,No,Female,White,3.0,4.0,35.0,3.5,Failed_or_not_attempted,744.736825
4463,0.41,0.26,67.0,No,Female,White,6.0,4.0,43.0,3.1,Passed,831.052609
4464,-0.69,-1.82,65.0,No,Male,Other,4.0,2.0,27.0,3.2,Passed,588.4210410000001
4465,-1.26,0.0,66.0,Yes,Male,White,5.0,4.0,40.0,3.5,Failed_or_not_attempted,823.68419
4466,-0.28,-0.5,68.0,No,Male,White,4.0,4.0,31.0,3.9,Passed,721.578933
4467,0.55,0.94,67.0,No,Female,White,4.0,4.0,40.0,3.6,Passed,833.6841900000001
4468,1.06,0.0,69.0,No,Male,White,3.0,4.0,40.0,3.3,Passed,803.68419
4469,0.9,0.42,67.0,No,Male,White,3.0,4.0,36.0,3.5,Passed,760.526298
4470,0.3,0.41,67.0,No,Female,White,2.0,3.0,33.0,3.7,Passed,733.157879
4471,-0.03,-0.6,66.0,No,Male,White,5.0,3.0,40.0,2.6,Passed,733.6841900000001
4472,0.59,0.76,66.0,No,Female,White,5.0,3.0,46.0,3.5,Passed,918.421028
4473,-0.58,-0.6,68.0,No,Female,White,4.0,3.0,37.0,3.5,Failed_or_not_attempted,776.315771
4474,0.35,-0.12,63.0,No,Male,White,5.0,3.0,37.0,3.3,Passed,756.3157709999999
4475,-1.04,-1.21,53.0,No,Female,White,3.0,4.0,31.0,3.0,Failed_or_not_attempted,631.578933
4476,-0.75,0.0,68.0,No,Male,White,2.0,5.0,29.0,2.8,Failed_or_not_attempted,579.9999869999999
4477,-0.73,-0.85,66.0,No,Female,White,3.0,3.0,44.0,3.5,Passed,886.842082
4478,0.37,-0.07,67.0,No,Female,Other,6.0,4.0,45.0,3.6,Passed,912.6315549999999
4479,0.83,0.27,68.0,No,Male,Other,3.0,5.0,35.0,2.4,Passed,634.736825
4480,-1.06,-0.28,63.0,No,Male,White,5.0,5.0,41.0,3.4,Failed_or_not_attempted,829.473663
4481,-0.61,-1.26,66.0,Yes,Male,Other,3.0,3.0,30.0,2.8,Failed_or_not_attempted,595.78946
4482,-0.1,-0.69,67.0,No,Male,Other,2.0,3.0,28.3,2.4,Passed,528.9473558999999
4483,0.0,0.0,69.0,No,Male,White,3.0,4.0,39.0,2.4,Failed_or_not_attempted,697.8947169999999
4484,-0.03,-0.06,69.0,No,Female,Other,4.0,3.0,38.0,4.0,Passed,842.105244
4485,-0.98,-0.93,61.0,No,Female,Other,4.0,3.0,33.0,2.5,Passed,613.157879
4486,1.77,1.59,62.0,No,Female,White,3.0,4.0,48.0,2.7,Passed,869.999974
4487,1.31,0.65,69.0,No,Male,White,3.0,3.0,30.5,3.0,Passed,623.6841965
4488,0.6,0.56,69.0,No,Male,Other,6.0,2.0,47.0,3.7,Passed,954.210501
4489,-1.37,-1.84,67.0,No,Male,White,3.0,3.0,31.0,2.9,Passed,621.578933
4490,0.12,-0.61,69.0,No,Female,White,4.0,4.0,40.0,3.4,Passed,813.68419
4491,-0.08,-0.52,66.0,No,Male,White,4.0,3.0,37.5,3.4,Passed,774.2105075
4492,-1.14,-2.11,60.0,Yes,Female,White,3.0,5.0,22.0,2.6,Failed_or_not_attempted,449.473676
4493,-0.83,0.18,51.0,No,Female,White,5.0,1.0,43.0,3.5,Passed,871.052609
4494,0.0,0.0,69.0,No,Female,White,2.0,4.0,30.0,4.0,Passed,715.78946
4495,-1.53,-1.96,69.0,No,Male,Black,4.0,2.0,26.0,3.1,Passed,562.631568
4496,-1.35,-1.16,67.0,No,Female,Other,4.0,1.0,27.0,3.4,Failed_or_not_attempted,608.421041
4497,0.08,-0.14,69.0,No,Male,White,4.0,2.0,39.0,3.6,Passed,817.894717
4498,0.0,0.0,69.0,No,Female,White,1.0,2.0,29.0,3.0,Passed,599.9999869999999
4499,2.08,1.9,69.0,No,Female,White,6.0,4.0,42.0,3.8,Passed,885.2631359999999
4500,0.03,0.1,68.0,No,Female,White,3.0,4.0,39.5,3.2,Passed,785.7894535
4501,0.42,0.0,65.0,Yes,Male,Other,5.0,3.0,41.0,2.7,Failed_or_not_attempted,759.473663
4503,0.02,-0.24,64.0,Yes,Male,White,5.0,3.0,39.0,2.6,Passed,717.894717
4504,-1.39,-1.12,68.0,No,Male,White,3.0,4.0,33.0,3.3,Passed,693.157879
4505,0.0,0.0,69.0,No,Male,White,6.0,3.0,43.0,3.4,Failed_or_not_attempted,861.052609
4506,-0.89,-0.95,49.0,Yes,Male,White,3.0,3.0,30.0,3.0,Passed,615.78946
4508,-0.86,-0.73,68.0,No,Male,White,4.0,3.0,41.0,3.4,Passed,829.473663
4509,1.2,1.13,69.0,No,Female,White,6.0,4.0,46.0,3.3,Passed,898.421028
4510,0.7,0.65,67.0,No,Female,White,3.0,2.0,35.0,3.2,Passed,714.736825
4511,-0.08,-0.41,68.0,No,Female,White,3.0,3.0,40.0,3.1,Passed,783.6841900000001
4512,0.14,-0.07,69.0,No,Male,White,4.0,3.0,38.0,3.0,Passed,742.105244
4513,-0.34,-0.09,69.0,No,Male,White,5.0,3.0,45.0,3.3,Passed,882.6315549999999
4514,0.0,0.0,50.0,No,Male,White,4.0,3.0,44.0,3.9,Failed_or_not_attempted,926.842082
4515,-0.28,-0.66,69.0,No,Male,White,3.0,4.0,39.0,2.7,Passed,727.894717
4516,-0.92,0.0,70.0,No,Male,White,3.0,3.0,42.0,3.6,Failed_or_not_attempted,865.263136
4517,-2.42,0.0,64.0,No,Male,White,5.0,4.0,42.0,3.8,Failed_or_not_attempted,885.2631359999999
4518,-2.16,0.0,68.0,No,Male,White,5.0,4.0,45.0,3.4,Failed_or_not_attempted,892.6315549999999
4519,-2.24,0.0,48.0,Yes,Male,Black,5.0,2.0,29.0,2.3,Failed_or_not_attempted,529.9999869999999
4520,-1.8,0.0,64.0,Yes,Male,White,5.0,3.0,40.0,2.8,Failed_or_not_attempted,753.68419
4521,-0.47,-0.7,69.0,No,Female,White,4.0,3.0,33.0,3.6,Passed,723.157879
4522,0.5,0.48,62.0,Yes,Male,White,4.0,3.0,31.0,2.9,Failed_or_not_attempted,621.578933
4523,0.83,0.12,68.0,No,Male,White,5.0,3.0,37.0,2.9,Passed,716.3157709999999
4524,-0.1,0.38,63.0,No,Female,White,3.0,2.0,37.0,3.3,Passed,756.3157709999999
4525,1.83,1.61,67.0,No,Female,White,5.0,4.0,45.0,3.6,Passed,912.6315549999999
4526,0.4,-0.06,70.0,No,Male,White,3.0,3.0,33.0,3.0,Passed,663.157879
4527,-1.59,-1.55,46.0,No,Female,White,6.0,5.0,36.0,2.9,Passed,700.526298
4528,-0.69,-0.12,65.0,No,Female,White,4.0,2.0,42.0,3.3,Passed,835.2631359999999
4529,0.0,0.19,65.0,No,Male,White,2.0,4.0,28.0,3.2,Passed,604.210514
4530,1.64,1.64,69.0,No,Male,White,4.0,3.0,41.0,4.0,Passed,889.473663
4531,-0.83,-1.39,68.0,No,Male,White,4.0,4.0,39.0,3.6,Passed,817.894717
4532,0.18,0.09,59.0,No,Female,White,1.0,2.0,37.0,3.1,Failed_or_not_attempted,736.315771
4533,1.79,1.62,67.0,Yes,Male,White,5.0,4.0,34.0,3.4,Passed,718.9473519999999
4534,1.22,0.5,49.0,No,Female,White,3.0,4.0,39.0,2.6,Passed,717.894717
4535,0.48,-0.25,69.0,No,Male,White,6.0,4.0,43.0,3.7,Passed,891.052609
4536,0.0,0.0,61.0,No,Male,Black,1.0,1.0,16.5,3.0,Failed_or_not_attempted,402.6315745
4537,-0.43,-0.14,69.0,No,Female,Black,4.0,3.0,42.0,2.8,Passed,785.2631359999999
4538,-0.43,-0.56,68.0,No,Male,White,5.0,3.0,32.0,3.6,Failed_or_not_attempted,707.368406
4539,1.03,1.56,68.0,No,Male,White,2.0,4.0,26.5,3.1,Passed,570.5263045
4540,-0.2,-0.22,50.0,No,Female,White,1.0,3.0,33.0,3.4,Failed_or_not_attempted,703.157879
4541,-1.22,-0.81,68.0,No,Female,White,4.0,4.0,39.5,2.9,Passed,755.7894534999999
4542,0.75,0.76,68.0,No,Male,White,2.0,4.0,35.0,3.2,Passed,714.736825
4543,0.58,0.03,69.0,No,Male,White,2.0,4.0,31.0,3.9,Failed_or_not_attempted,721.578933
4544,-1.38,0.0,68.0,No,Male,White,4.0,3.0,40.0,3.2,Failed_or_not_attempted,793.6841900000001
4545,-0.51,-1.33,64.0,No,Male,Other,3.0,3.0,32.0,3.5,Passed,697.368406
4546,-0.51,-1.33,70.0,No,Female,White,3.0,3.0,38.0,2.9,Failed_or_not_attempted,732.105244
4547,-2.22,0.0,70.0,No,Female,Black,1.0,2.0,18.5,3.8,Failed_or_not_attempted,514.2105205
4548,-1.21,-1.64,51.0,No,Female,White,3.0,3.0,27.0,3.4,Failed_or_not_attempted,608.421041
4549,0.46,0.28,63.0,No,Male,White,5.0,3.0,35.0,2.3,Passed,624.736825
4550,0.0,0.0,59.0,No,Male,White,3.0,4.0,39.0,2.7,Failed_or_not_attempted,727.894717
4551,0.43,-0.12,67.0,No,Male,White,3.0,4.0,32.5,2.9,Passed,645.2631425
4552,-0.28,-0.48,45.0,Yes,Male,White,3.0,2.0,36.0,2.9,Passed,700.526298
4553,0.2,0.29,68.0,No,Male,White,2.0,4.0,42.0,3.6,Passed,865.263136
4554,-0.43,0.11,69.0,No,Female,White,5.0,4.0,42.0,3.5,Passed,855.263136
4555,0.84,1.54,48.0,No,Female,White,3.0,2.0,35.0,3.0,Passed,694.736825
4556,0.23,0.0,64.0,No,Male,White,3.0,3.0,28.5,2.9,Failed_or_not_attempted,582.1052505
4557,-0.28,0.48,69.0,No,Female,White,5.0,3.0,33.0,3.8,Passed,743.157879
4558,0.97,0.3,69.0,No,Male,White,2.0,3.0,33.0,2.9,Passed,653.157879
4559,1.95,1.58,66.0,Yes,Female,White,6.0,3.0,42.0,4.0,Passed,905.263136
4560,-0.32,-0.08,62.0,Yes,Male,White,5.0,3.0,33.0,3.3,Passed,693.157879
4561,0.0,0.0,68.0,No,Male,White,6.0,5.0,47.0,3.8,Passed,964.210501
4562,0.26,-0.12,69.0,No,Male,White,3.0,3.0,32.0,3.3,Passed,677.3684059999999
4563,-0.79,0.0,50.0,No,Female,White,2.0,3.0,35.0,2.7,Failed_or_not_attempted,664.736825
4564,1.07,1.41,65.0,No,Male,White,4.0,4.0,37.0,3.7,Passed,796.315771
4565,0.46,-0.06,63.0,No,Female,White,3.0,3.0,33.0,3.0,Passed,663.157879
4566,-1.11,-1.47,69.0,No,Male,White,3.0,3.0,35.0,3.8,Passed,774.736825
4567,-0.2,-0.52,52.0,Yes,Male,White,3.0,3.0,35.0,2.5,Passed,644.736825
4568,0.48,1.07,68.0,No,Female,White,6.0,4.0,42.0,3.5,Passed,855.263136
4569,0.98,0.92,69.0,No,Male,White,4.0,3.0,45.0,3.6,Passed,912.6315549999999
4570,0.0,0.0,66.0,No,Male,Black,4.0,3.0,36.0,3.1,Failed_or_not_attempted,720.526298
4571,-0.26,-0.06,64.0,No,Male,White,4.0,2.0,42.0,3.1,Passed,815.263136
4572,1.64,2.13,64.0,No,Female,White,3.0,3.0,31.0,3.4,Passed,671.578933
4574,1.64,1.9,69.0,No,Male,White,5.0,3.0,45.0,3.4,Passed,892.6315549999999
4575,-1.49,-1.2,68.0,No,Female,White,6.0,4.0,45.0,3.5,Passed,902.6315549999999
4576,-0.69,-0.79,69.0,No,Male,White,4.0,3.0,45.0,3.2,Passed,872.6315549999999
4577,-1.29,-1.61,50.0,No,Female,Other,5.0,1.0,32.0,2.8,Failed_or_not_attempted,627.3684059999999
